Zeit [ms]	Uin A [V]	Uin B [V]
2.720000000	1.244555421	1.906228155
2.740000000	1.241310336	1.902658561
2.760000000	1.239038777	1.900062493
2.780000000	1.236118202	1.897141917
2.800000000	1.232548609	1.893247815
2.820000000	1.229628033	1.890002730
2.840000000	1.226058440	1.887082154
2.860000000	1.223462373	1.882863544
2.880000000	1.219892780	1.879942967
2.900000000	1.216647696	1.875724357
2.920000000	1.213402612	1.872479272
2.940000000	1.209508511	1.868909679
2.960000000	1.205614410	1.865015577
2.980000000	1.201720309	1.861121475
3.000000000	1.198150716	1.856902865
3.020000000	1.194256615	1.852684255
3.040000000	1.190687022	1.848790153
3.060000000	1.186468413	1.844896051
3.080000000	1.182249803	1.841001949
3.100000000	1.178355702	1.836134322
3.120000000	1.173812585	1.831915712
3.140000000	1.169593975	1.827048085
3.160000000	1.165699874	1.822829474
3.180000000	1.161156756	1.817961847
3.200000000	1.156938147	1.813418729
3.220000000	1.152070520	1.808551101
3.240000000	1.147851911	1.803683474
3.260000000	1.143308793	1.798815847
3.280000000	1.138441167	1.793948220
3.300000000	1.133573540	1.788756084
3.320000000	1.129030423	1.783888457
3.340000000	1.123513780	1.779020830
3.360000000	1.119295170	1.773828695
3.380000000	1.113778527	1.768312051
3.400000000	1.109235409	1.762470898
3.420000000	1.103394258	1.757278763
3.440000000	1.098851140	1.752086627
3.460000000	1.093009988	1.746569983
3.480000000	1.087817854	1.740728831
3.500000000	1.082301211	1.735212187
3.520000000	1.077109076	1.729371034
3.540000000	1.071592433	1.723854390
3.560000000	1.065751281	1.717688730
3.580000000	1.060234638	1.712496594
3.600000000	1.054393487	1.706006425
3.620000000	1.048876844	1.699840764
3.640000000	1.042386675	1.693675103
3.660000000	1.036870032	1.687509442
3.680000000	1.030704372	1.681668290
3.700000000	1.025187729	1.674529104
3.720000000	1.019346578	1.669012460
3.740000000	1.013180918	1.661873274
3.760000000	1.006366241	1.655383105
3.780000000	1.000849598	1.649217444
3.800000000	0.994034922	1.642402767
3.820000000	0.987869262	1.635263581
3.840000000	0.981379094	1.628773411
3.860000000	0.974888925	1.621958734
3.880000000	0.968398757	1.614819548
3.900000000	0.961584080	1.608004870
3.920000000	0.955418420	1.600865684
3.940000000	0.948603744	1.594051007
3.960000000	0.941789067	1.586262804
3.980000000	0.934974390	1.579772635
4.000000000	0.928159714	1.572308941
4.020000000	0.921020529	1.565169755
4.040000000	0.913881344	1.557706061
4.060000000	0.907066667	1.549593349
4.080000000	0.899927482	1.542454164
4.100000000	0.892788297	1.535314978
4.120000000	0.885000095	1.527526775
4.140000000	0.878509927	1.519738572
4.160000000	0.871046233	1.512274878
4.180000000	0.863582540	1.504162167
4.200000000	0.856767863	1.496049456
4.220000000	0.848655153	1.488585762
4.240000000	0.841191459	1.480473051
4.260000000	0.833727766	1.472360340
4.280000000	0.825939564	1.464247629
4.300000000	0.818475871	1.456134918
4.320000000	0.810687669	1.447697698
4.340000000	0.802899467	1.439584987
4.360000000	0.794786757	1.431796785
4.380000000	0.787647572	1.423035057
4.400000000	0.779210353	1.414597838
4.420000000	0.771746660	1.406160618
4.440000000	0.763309441	1.398047908
4.460000000	0.755845747	1.389286180
4.480000000	0.747408529	1.380848961
4.500000000	0.739295818	1.372087233
4.520000000	0.731183108	1.363000997
4.540000000	0.723394906	1.354888286
4.560000000	0.714957688	1.345477541
4.580000000	0.706844977	1.336715814
