Zeit [ms]	Uin A [V]	Uin B [V]
0.000000000	-0.478908886	0.166862966
0.010000000	-0.347482943	0.138630732
0.020000000	-0.216706025	0.110723007
0.030000000	-0.084306571	0.082166264
0.040000000	0.047119352	0.052311487
0.050000000	0.177571745	0.023430235
0.060000000	0.308673150	-0.005775525
0.070000000	0.437827502	-0.034981286
0.080000000	0.564710293	-0.064187047
0.090000000	0.688672506	-0.093392808
0.100000000	0.810687669	-0.121625044
0.110000000	0.928808731	-0.150181789
0.120000000	1.043684709	-0.177440500
0.130000000	1.154017571	-0.204374703
0.140000000	1.259158300	-0.230335381
0.150000000	1.359431404	-0.255322534
0.160000000	1.453863359	-0.279011653
0.170000000	1.543427689	-0.302376263
0.180000000	1.625852835	-0.324118332
0.190000000	1.701787815	-0.344886875
0.200000000	1.769610085	-0.364032876
0.210000000	1.832889237	-0.381556335
0.220000000	1.887406662	-0.398106268
0.230000000	1.935109410	-0.412384642
0.240000000	1.975348464	-0.425689491
0.250000000	2.006176772	-0.437047289
0.260000000	2.031488435	-0.447107052
0.270000000	2.046091318	-0.454895256
0.280000000	2.053555014	-0.461060918
0.290000000	2.053555014	-0.465604037
0.300000000	2.044793284	-0.468200105
0.310000000	2.027269825	-0.469173631
0.320000000	2.003256195	-0.468200105
0.330000000	1.969507311	-0.464955020
0.340000000	1.928619241	-0.460411901
0.350000000	1.880916493	-0.453921731
0.360000000	1.824452017	-0.445484510
0.370000000	1.762470898	-0.436073763
0.380000000	1.692052561	-0.423417931
0.390000000	1.615468565	-0.410437591
0.400000000	1.532069893	-0.395510200
0.410000000	1.442181055	-0.378635759
0.420000000	1.347100084	-0.360787791
0.430000000	1.246502471	-0.340992773
0.440000000	1.141037234	-0.320873247
0.450000000	1.028757322	-0.298806670
0.460000000	0.915503886	-0.275442059
0.470000000	0.796733807	-0.251428432
0.480000000	0.675367661	-0.226116771
0.490000000	0.552054464	-0.200480601
0.500000000	0.423549131	-0.173221890
0.510000000	0.294394779	-0.145314162
0.520000000	0.164591407	-0.117406434
0.530000000	0.033165489	-0.088525181
0.540000000	-0.098260435	-0.059319420
0.550000000	-0.229686364	-0.030438167
0.560000000	-0.360463283	-0.001232407
0.570000000	-0.489293158	0.027973354
0.580000000	-0.616500499	0.057179114
0.590000000	-0.742734323	0.086384874
0.600000000	-0.865074054	0.115266125
0.610000000	-0.984168708	0.143173850
0.620000000	-1.099369267	0.170757067
0.630000000	-1.210351224	0.197691267
0.640000000	-1.318737121	0.223976450
0.650000000	-1.419659327	0.249288108
0.660000000	-1.515389402	0.273301732
0.670000000	-1.606576362	0.296341830
0.680000000	-1.690299627	0.319057420
0.690000000	-1.766234688	0.339501450
0.700000000	-1.837626630	0.358322939
0.710000000	-1.901554874	0.376170902
0.720000000	-1.958343926	0.393045340
0.730000000	-2.007020259	0.407972727
0.740000000	-2.046285837	0.421277573
0.750000000	-2.079385746	0.432310859
0.760000000	-2.104697443	0.443019637
